order,pid,ms_sub_class,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,sale_type,sale_condition,sale_price,house_age,porch_x_deck,total_bathrooms,sqft_above_ground
228,905107320,60,RL,NA,11616,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,Hip,CompShg,HdBoard,HdBoard,BrkCmn,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,672,GasA,TA,Y,SBrkr,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,440,TA,TA,Y,WD,Abnorml,158900,32,335,2.5,1386
1459,907254090,60,RL,75,11404,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,ALQ,Unf,1153,GasA,Ex,Y,SBrkr,3,1,Gd,8,Typ,1,TA,Attchd,Fin,2,541,TA,TA,Y,WD,Normal,222500,10,276,2.5,2031
2871,909428110,190,RL,90,15750,Pave,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,Mn,BLQ,Unf,1165,GasA,TA,Y,SBrkr,2,1,TA,5,Typ,2,Gd,Attchd,Unf,1,375,TA,TA,Y,WD,Normal,157000,53,0,2,1336
708,902204080,30,RM,62,7404,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,861,GasA,TA,Y,SBrkr,2,1,TA,5,Typ,0,none,Detchd,Unf,2,288,TA,TA,N,Oth,Normal,80000,89,128,1,861
774,905107310,85,RL,NA,8014,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,Gable,CompShg,Plywood,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,456,GasA,TA,Y,SBrkr,3,1,TA,5,Typ,1,Fa,Basment,Fin,2,504,TA,TA,Y,WD,Normal,149900,31,0,1.5,1034
2751,906380110,60,RL,133,11003,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1308,GasA,Ex,Y,SBrkr,3,1,Gd,7,Typ,0,none,BuiltIn,RFn,3,848,TA,TA,Y,New,Partial,229800,1,40,2.5,1876
476,528235090,60,RL,NA,8068,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1010,GasA,Ex,Y,SBrkr,4,1,Gd,8,Typ,1,TA,BuiltIn,RFn,2,390,TA,TA,Y,ConLI,Normal,200000,7,166,2.5,2267
123,534403360,80,RL,NA,10600,Pave,IR1,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,Norm,1Fam,SLvl,6,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,533,GasA,TA,Y,SBrkr,3,1,TA,8,Typ,0,none,Attchd,Unf,2,480,TA,TA,Y,COD,Family,136300,46,172,2,1775
2281,923204050,20,RL,94,17727.75,Pave,Reg,HLS,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,HdBoard,Plywood,None,TA,TA,PConc,TA,TA,Gd,ALQ,Unf,1064,GasA,Gd,Y,SBrkr,3,1,TA,5,Typ,0,none,Attchd,Unf,2,648,TA,TA,Y,WD,Normal,132250,44,0,2,1040
1294,902109120,50,RM,63,7628,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,6,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,801,GasA,Gd,Y,FuseA,2,1,TA,8,Mod,0,none,Detchd,Unf,2,440,TA,TA,Y,WD,Normal,119164,68,187,2,1656
